1_59:7230,7177,7869,7454,7127,7930,8083,7453,7372,7316,6759,7942,7386,7036,7491,6946,6726,6726,7564,7281,7689,7593,7678,7890,8091,8080,7950,8262,7685,7740,7907,7156,8411,7553,7573,7311,6953,7757,7405,7011,6899,7460,7972,7235,7057,7260,6975,7866,7398,6997,7303,7640,7544,7698,7482,6551,8048,8121,7947
1_60:7161,7109,7455,7660,6587,6618,6789,6906,7120,6965,6841,7368,6909,6595,6991,6995,6797,7174,8005,6674,6460,6693,7050,7712,7576,7976,7361,8426,7880,7945,8424,7573,8718,7479,7573,7589,7490,7958,8335,7297,7304,8180,8192,7739,7530,7648,7558,7991,7455,7161,7508,7098,7460,7172,7246,6207,7747,8093,7601
1_61:7518,7541,7448,8070,6714,7090,7321,7297,7617,7385,7432,7771,8147,7614,7628,7489,7797,7483,8562,7075,7734,7498,7503,8372,7664,7273,7502,7981,7489,6890,7248,6631,7835,7034,6952,7407,6977,7584,7023,6907,6732,7207,7096,7045,6906,7064,6300,7799,7136,6945,7698,7244,7772,7333,7685,7261,7712,8229,7524
1_62:7479,7790,7778,8070,7057,7340,7739,7634,7607,7274,7432,7554,8294,7189,7710,7489,7439,7811,7879,6801,7214,7158,7315,7629,7108,7129,7060,7519,7591,7017,7199,7270,8098,7202,7590,7838,7695,8462,7751,7766,7461,7849,8153,8256,8064,8216,7949,8754,8276,8151,9223,8559,8749,8046,8995,7318,8276,9405,8549
1_63:7678,7878,7840,8426,7915,7469,7901,7812,8202,7796,7776,8146,8598,7855,7994,8025,8249,8287,8476,7321,7969,7705,8254,8483,7982,7785,8316,8216,8785,7454,8056,7581,8573,7737,7893,7780,8007,8718,8378,8457,7905,8312,8773,8787,8357,8520,8334,8950,8712,8140,9155,8392,8636,8240,9217,7448,8727,9255,8421
1_64:8341,8299,8716,8898,8040,8171,8600,8341,8353,8075,8523,8262,8829,8583,8583,8431,8244,8595,8731,7787,8617,8216,8488,8866,8778,8534,8326,8760,8871,8117,8326,8168,9387,8429,8461,8478,8626,9031,8486,8459,8160,8851,8724,8984,8781,8852,8384,9282,9061,8570,9658,8968,9325,9206,9625,8332,9893,9989,9719
1_65:7897,7539,7765,7717,7421,7270,8048,7314,7509,7368,7712,7924,7815,7709,7817,7962,7616,8129,7730,7724,7674,7688,7754,8107,7879,7720,7921,8448,7881,7618,7837,8043,8413,7990,8363,8274,7782,8689,7877,7569,7670,7700,7814,7818,7559,7900,7603,8272,7935,7818,8671,8199,8141,8373,7960,7548,8319,8376,8762
1_66:7061,6354,6759,6352,6222,6000,6904,6374,6587,6123,6716,6903,6737,6535,6938,7124,6288,6785,6559,6862,6543,6930,6747,7046,6693,6687,6953,7708,6807,6746,7080,7456,7504,7024,7358,7128,7122,7673,7086,6694,7062,6817,7415,7339,6968,7282,7184,7728,7336,7022,7847,7504,7761,8199,7775,7011,7893,7881,7753
1_67:6417,5936,6124,5897,5775,5633,6320,5827,5750,5823,5931,6261,6031,5856,6053,6552,5932,6231,6209,6250,6067,6327,6188,6328,6099,6256,6296,7021,6089,6065,6353,6676,6294,6217,6886,6733,6311,7274,6530,6426,6514,6456,6763,6800,6453,6676,6503,7171,6887,6619,7373,6997,7264,7309,7018,6586,7219,7109,7063
1_68:6688,6440,6723,6136,6062,6228,6861,6384,6327,6333,6682,6471,6820,6239,6475,7270,6011,6561,6403,6102,6443,6105,6111,6488,6107,6007,5994,6521,6047,6026,5727,6031,6518,6320,6779,6387,6174,7093,6486,6592,6451,6205,6838,6393,5983,6731,6173,6841,6906,6255,7296,6733,6850,7528,7002,6694,7378,7539,7224
1_69:7465,7448,8034,7375,7008,7557,7391,6906,6975,7298,7290,7578,7034,7066,7465,7601,7328,7320,7963,6565,7445,6753,6936,6890,7157,6941,6814,7116,6491,6974,6672,6613,7403,7221,7221,6981,6996,7793,7199,7169,6717,6947,7925,7104,6930,7541,6906,7844,8328,7859,8293,8305,8309,8451,8177,7385,8376,8941,8803
1_70:8467,8413,8846,7996,7716,8156,8318,7989,8119,7985,7858,8876,7834,7670,7913,8018,8172,8150,8532,7259,7840,7647,8140,7793,8198,8082,7569,8127,7489,7615,7647,6766,8138,7696,7613,7367,7578,8178,8469,7935,7773,7991,8944,8374,8325,8592,8070,9180,9367,9040,9176,9146,9373,9048,9129,7853,9339,9751,9648
1_71:8500,8406,9288,8720,8350,8528,8327,8035,8397,8264,8341,8974,8213,7913,8899,8090,8077,8297,9029,7863,8085,7979,7778,7904,7820,7900,7706,8027,7386,7821,8273,7192,8943,7796,7866,8244,7656,8638,8851,7938,7950,8362,8899,7993,8171,8481,8392,8680,8971,8702,9096,9054,9017,8830,8865,7536,8989,9564,9342
1_72:8208,8143,8167,8164,7231,7516,7960,7416,7980,7720,7507,8135,7913,7661,8010,7893,7904,8338,8765,7405,7754,7765,7979,8483,7874,7966,7904,8772,7723,7635,7817,6984,8194,7516,7626,8095,7499,8311,8080,7391,7312,7589,8080,7404,7819,7750,7473,8437,7845,7675,8038,8063,7920,7893,7961,6994,8353,8990,8270
1_73:10343,10711,10213,10374,10299,9965,10473,10160,10095,10250,10242,10726,10525,10334,10328,10140,10034,10392,10248,9494,9977,10460,10281,10303,9844,9887,9542,10636,9517,8908,9595,9726,10318,9211,9470,9948,9231,10117,9618,9122,8887,9062,9629,8741,8757,8891,8362,9449,9192,8773,9415,8543,8828,8644,8560,8108,8686,8939,8355
1_74:9494,10118,9347,9871,9349,9054,9896,9447,9301,9337,9302,9804,9738,9339,9664,9373,9357,9554,9442,8622,9241,9180,9279,9501,8992,9367,8936,9381,9532,8485,9169,9333,9674,8871,9242,9512,8931,9641,8760,8589,8657,8620,9516,8823,9073,9330,8816,9459,9486,8868,9149,8721,9009,8511,8675,8136,8739,9221,8733
1_75:8960,9644,9194,9833,9310,8945,9690,9166,9370,9351,9336,9505,10123,9337,9457,9342,9258,9233,9516,8577,8968,8991,8779,8945,8833,9018,8707,9213,9228,8397,8469,8618,8989,8238,8607,8772,8425,9143,8238,8188,8100,8102,8925,8107,8223,8370,7816,8906,8692,7909,8721,8305,8432,8330,8499,7841,8324,8598,8314
1_76:10155,10961,10994,11058,10701,10113,11546,10383,10455,10365,10405,10898,10777,10233,10331,10328,10620,10617,10439,9718,10188,10325,10011,10299,9843,9937,10059,10306,10020,9408,10029,9632,10493,9440,9601,9810,9633,10113,9203,9321,9171,9023,9851,9051,9017,9133,8591,9777,9322,8716,9320,8715,9093,9181,8712,8552,8914,9101,9380
1_77:7157,7216,7316,7361,7166,6811,7607,7148,7047,7195,7272,7227,7530,7162,7331,7299,6774,7271,7079,6890,6898,6948,6934,7285,7119,6774,6972,7788,6836,6584,7068,6724,7598,6841,7050,6935,6641,7479,6822,6188,5988,6085,6344,6236,6145,6521,6115,6929,6806,6636,7680,7564,7647,7594,7638,6806,7519,7567,7411
